Ensembl_ID	start	end	gene_name	chromosome
ENSG00000251841	2784749	2784853	RNU6-1334P	Y
ENSG00000184895	2786855	2787682	SRY	Y
ENSG00000237659	2789827	2790328	RNASEH2CP1	Y
ENSG00000232195	2827982	2828218	TOMM22P2	Y
ENSG00000286130	2828192	2840851	AC006040.1	Y
ENSG00000129824	2841602	2932000	RPS4Y1	Y
ENSG00000227289	2881683	2890551	HSFY3P	Y
ENSG00000229163	2929001	2931120	NAP1L1P2	Y
ENSG00000278847	2934406	2934771	AC006157.1	Y
ENSG00000067646	2935281	2982506	ZFY	Y
ENSG00000233070	2966844	3002626	ZFY-AS1	Y
ENSG00000223600	2995067	2995273	EEF1A1P41	Y
ENSG00000231535	3002887	3200509	LINC00278	Y
ENSG00000234652	3293808	3294826	AGPAT5P1	Y
ENSG00000216777	3549652	3549810	PRRC2CP1	Y
ENSG00000176679	3579067	3580041	TGIF2LY	Y
ENSG00000232927	3682805	3683868	USP12PY	Y
ENSG00000225653	3777997	3779546	RNF19BPY	Y
ENSG00000286050	3786282	3864893	AC012078.2	Y
ENSG00000218410	3851224	3852869	AC012078.1	Y
ENSG00000229518	3866306	3866722	UBE2V1P3	Y
ENSG00000229308	4036497	4100320	AC010737.1	Y
ENSG00000252900	4174985	4175090	RNU6-303P	Y
ENSG00000225878	4801685	4802848	SERBP1P2	Y
ENSG00000277930	4993858	4999650	AC010722.1	Y
ENSG00000099715	5000226	5742224	PCDH11Y	Y
ENSG00000252468	5019076	5019266	RNU2-57P	Y
ENSG00000231341	5207215	5208069	VDAC1P6	Y
ENSG00000235001	5337745	5338964	EIF4A1P2	Y
ENSG00000214207	5573145	5574431	KRT18P10	Y
ENSG00000278585	5634480	5634655	SNX3P1Y	Y
ENSG00000235175	5793300	5793737	RPL26P37	Y
ENSG00000285470	5887504	5888740	TUSC2P1	Y
ENSG00000237195	6158802	6159265	DLGAP5P1	Y
ENSG00000250204	6242446	6245283	TTTY23B	Y
ENSG00000168757	6246223	6249019	TSPY2	Y
ENSG00000234830	6256267	6265595	FAM197Y9	Y
ENSG00000238235	6266593	6269275	TSPY11P	Y
ENSG00000275352	6273579	6274065	AC006335.2	Y
ENSG00000234583	6303957	6305074	TSPY19P	Y
ENSG00000235094	6306042	6308202	AC006335.1	Y
ENSG00000223744	6328052	6343323	RBMY2GP	Y
ENSG00000229643	6357219	6369921	LINC00280	Y
ENSG00000129816	6390431	6411564	TTTY1B	Y
ENSG00000212856	6406244	6462091	TTTY2B	Y
ENSG00000237563	6443434	6450685	TTTY21B	Y
ENSG00000147753	6449468	6457906	TTTY7	Y
ENSG00000185700	6470773	6473630	TTTY8B	Y
ENSG00000235895	6492976	6496757	AC010154.1	Y
ENSG00000232620	6520463	6520929	TSPY17P	Y
ENSG00000224953	6718962	6719180	SRIP3	Y
ENSG00000274365	6789153	6789344	AC013412.1	Y
ENSG00000233634	6837707	6838252	GOT2P5	Y
ENSG00000099721	6865918	6911774	AMELY	Y
ENSG00000237701	6900753	6901372	ATP5PFP1	Y
ENSG00000092377	6910686	7101970	TBL1Y	Y
ENSG00000273906	6918682	6920791	AC011297.1	Y
ENSG00000232583	7100733	7106502	GPR143P	Y
ENSG00000099725	7273972	7381548	PRKY	Y
ENSG00000252633	7324297	7324595	RN7SKP282	Y
ENSG00000251996	7341531	7341642	Y_RNA	Y
ENSG00000252155	7378672	7378779	RNU6-941P	Y
ENSG00000252472	7423054	7423158	RNU6-521P	Y
ENSG00000275280	7656968	7657352	AC007274.3	Y
ENSG00000238073	7671743	7676024	RBMY2HP	Y
ENSG00000223422	7678899	7681028	AC007274.1	Y
ENSG00000236435	7687739	7689548	TSPY12P	Y
ENSG00000236690	7690511	7692678	AC007274.2	Y
ENSG00000234795	7694707	7810305	RFTN1P1	Y
ENSG00000237048	7803996	7810683	TTTY12	Y
ENSG00000278854	7845485	7846454	AC007275.1	Y
ENSG00000215603	7853686	7854876	ZNF92P1Y	Y
ENSG00000273863	7905536	7907303	AC010678.1	Y
ENSG00000244246	7913422	7914090	ZNF736P8Y	Y
ENSG00000229745	7932997	7937640	BPY2DP	Y
ENSG00000241200	7990987	7991806	ZNF736P7Y	Y
ENSG00000239893	8068445	8126293	ZNF736P9Y	Y
ENSG00000227204	8127130	8144203	RBMY2JP	Y
ENSG00000225809	8264449	8277188	RBMY2KP	Y
ENSG00000215601	8280198	8282209	TSPY24P	Y
ENSG00000224634	8350931	8352143	ZNF736P6Y	Y
ENSG00000223955	8363536	8363959	MTND6P1	Y
ENSG00000234179	8364032	8365150	MTCYBP1	Y
ENSG00000226529	8371663	8372030	MTND1P1	Y
ENSG00000234850	8372241	8372710	MTND2P3	Y
ENSG00000227830	8413037	8414054	TRIM60P3Y	Y
ENSG00000216824	8418791	8419900	ZNF736P10Y	Y
ENSG00000275866	8517364	8517748	AC016991.1	Y
ENSG00000286217	8550518	8713825	LINC00279	Y
ENSG00000233699	8682594	8700977	TTTY18	Y
ENSG00000232419	8704472	8705283	TTTY19	Y
ENSG00000180910	8783310	8817382	TTTY11	Y
ENSG00000228207	8901203	8903276	AC007967.2	Y
ENSG00000173357	8906224	8916073	AC007967.1	Y
ENSG00000273731	8931069	8931454	AC007967.4	Y
ENSG00000230025	8971751	8974095	AC007967.3	Y
ENSG00000231988	9030594	9039988	OFD1P3Y	Y
ENSG00000232235	9166085	9167702	CDY3P	Y
ENSG00000224408	9183694	9185803	USP9YP22	Y
ENSG00000238154	9189629	9204611	USP9YP4	Y
ENSG00000232924	9230915	9231247	ELOCP4	Y
ENSG00000197038	9311130	9322869	RBMY1A3P	Y
ENSG00000275310	9325799	9326047	AC006158.1	Y
ENSG00000232808	9329880	9334832	TTTY20	Y
ENSG00000233803	9337464	9340284	TSPY4	Y
